Label	subjectText	subjectType
geranylgeranyl diphosphate synthase	geranylgeranyl diphosphate synthase	Gene_or_Protein
geranylgeranyl pyrophosphate synthase	geranylgeranyl pyrophosphate synthase	Gene_or_Protein
geranylgeranyl pyrophosphate synthase	GGPP	Gene_or_Protein
GFG	GFG	Gene_or_Protein
GGDR	GGDR	Gene_or_Protein
GGH	GGH	Gene_or_Protein
GGP	GGP	Gene_or_Protein
GH13 -amylase	GH13 -amylase	Gene_or_Protein
GH3	GH3	Gene_or_Protein
gib-1	gib-1	Gene_or_Protein
gibberellin	gibberellin	Gene_or_Protein
GL3	:GL3	Gene_or_Protein
GL3	GL3	Gene_or_Protein
Glc-6P mg-1	Glc-6P mg-1	Gene_or_Protein
GLDH	GLDH	Gene_or_Protein
GLK2	GLK2	Gene_or_Protein
GLS	GLS	Gene_or_Protein
glucose isomerase	glucose isomerase	Gene_or_Protein
glucose oxidase	glucose oxidase	Gene_or_Protein
glucose-1-phosphate	glucose-1-phosphate	Gene_or_Protein
glucose-1-phosphate adenylyltransferase	EC2.7.7.27	Gene_or_Protein
glutamine synthetase	glutamine synthetase	Gene_or_Protein
glutathione peroxidase	glutathione peroxidase	Gene_or_Protein
glutathione reductase	glutathione reductase	Gene_or_Protein
glutathione synthetase	glutathione synthetase	Gene_or_Protein
glutathione transferase	Glutathione transferase	Gene_or_Protein
glycerol-3-phosphate acyltransferase	glycerol-3-phosphate acyltransferase	Gene_or_Protein
glycine-rich	glycine-rich	Gene_or_Protein
glycogen	glycogen	Gene_or_Protein
GPAT	GPAT	Gene_or_Protein
GR24	GR24	Gene_or_Protein
GS1	GS1	Gene_or_Protein
GS1	Stgs1b	Gene_or_Protein
GS52	GS52	Gene_or_Protein
GSL2	GSL2	Gene_or_Protein
GST	GST	Gene_or_Protein
GST	GST1	Gene_or_Protein
GST	GST2	Gene_or_Protein
GST	GST3	Gene_or_Protein
GUS	constructs.TheGUSactiv-ity	Gene_or_Protein
GUS	GUS	Gene_or_Protein
H	′H	Gene_or_Protein
H2O2	H2O2	Gene_or_Protein
H99	H99	Gene_or_Protein
HCT	HCT	Gene_or_Protein
HDR	HDR	Gene_or_Protein
HEL	hevein-like	Gene_or_Protein
homogentisate phytyltransferase	Homogentisate phytyltransferase	Gene_or_Protein
homogentisate phytyltransferase	HPT	Gene_or_Protein
homologs	homologs	Gene_or_Protein
HP-2	HP-2	Gene_or_Protein
hp3	hp3	Gene_or_Protein
HQT	HQT	Gene_or_Protein
HRE	StHRE	Gene_or_Protein
HS18	HS18	Gene_or_Protein
HvBRI1	HvBRI1	Gene_or_Protein
hydroxycinnamoyl-CoA quinate hydroxycinnamoyl transferase	hydroxycinnamoyl-CoA quinate hydroxycinnamoyl transferase	Gene_or_Protein
hydroxycinnamoyl-CoA shikimate hydroxycinnamoyl transferase	hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase	Gene_or_Protein
hydroxylase	hydroxylase	Gene_or_Protein
hydroxymethylbutenyl diphosphate reductase	hydroxymethylbutenyl diphosphate reductase	Gene_or_Protein
hydroxymethylbutenyl diphosphate synthase	hydroxymethylbutenyl diphosphate synthase	Gene_or_Protein
I	I	Gene_or_Protein
IAA	StIAA	Gene_or_Protein
IAA	StIAA2	Gene_or_Protein
INSENSITIVE3/VIVIPAROUS1	INSENSITIVE3/VIVIPAROUS1	Gene_or_Protein
invertase	invertase	Gene_or_Protein
InvInh2B	StInvInh2B	Gene_or_Protein
Iox	Iox	Gene_or_Protein
IPT	IPT	Gene_or_Protein
iron hydroxylases	iron hydroxylases	Gene_or_Protein
isoamylase isoform	Stisa2	Gene_or_Protein
isoamylase isoform	Stisa3	Gene_or_Protein
isopentenyl pyrophosphate isomerase	isopentenyl pyrophosphate isomerase	Gene_or_Protein
JAF13	JAF13	Gene_or_Protein
JAF13a	StJAF13a	Gene_or_Protein
jai1-1	jai1-1	Gene_or_Protein
JERF1	JERF1	Gene_or_Protein
JMT	JMT	Gene_or_Protein
kinase	kinase	Gene_or_Protein
kinase	kinase-1	Gene_or_Protein
L-2	L-2	Gene_or_Protein
LAP	LAP	Gene_or_Protein
LAP	LAP-A	Gene_or_Protein
LC_X	LC_X	Gene_or_Protein
LCY-b	LCY-b	Gene_or_Protein
Lcye	Lcye	Gene_or_Protein
LCY-e	LCY-e	Gene_or_Protein
LeACS2	LeACS2	Gene_or_Protein
LEalpha-DOX1	LEalpha-DOX1	Gene_or_Protein
LebZIP1	LebZIP1	Gene_or_Protein
LeCBF1	LeCBF1	Gene_or_Protein
LeCCD1	LeCCD1	Gene_or_Protein
LeCOP1LIKE	LeCOP1LIKE	Gene_or_Protein
LeCYP1	LeCYP1	Gene_or_Protein
LeDDB1	LeDDB1	Gene_or_Protein
LeDGK1	LeDGK1	Gene_or_Protein
LeEXT	LeEXT	Gene_or_Protein
LeFrk3	LeFrk3	Gene_or_Protein
Lefsm1	Lefsm1	Gene_or_Protein
LeGSTU2	LeGSTU2	Gene_or_Protein
LeIMP-2	LeIMP-2	Gene_or_Protein
LeNCED1	LeNCED1	Gene_or_Protein
LePCS1	LePCS1	Gene_or_Protein
LePS2	LePS2	Gene_or_Protein
LePT4	LePT4	Gene_or_Protein
LeSNF4	LeSNF4	Gene_or_Protein
leucine aminopeptidase	leucine aminopeptidase	Gene_or_Protein
leucine-rich	leucine-rich	Gene_or_Protein
leucoanthocyanidin dioxygenase	leucoanthocyanidin dioxygenase	Gene_or_Protein
LeZEP	LeZE	Gene_or_Protein
LeZEP	LeZEP1	Gene_or_Protein
Lin5	Lin5	Gene_or_Protein
LIN6	LIN6	Gene_or_Protein
LIN6 invertase	LIN6 invertase	Gene_or_Protein
lipocalin	lipocalin	Gene_or_Protein
lipoxygenase	lipoxygenase	Gene_or_Protein
LM1	LM1	Gene_or_Protein
LOX	Tuber-LOX;	Gene_or_Protein
LS1	ST-LS1	Gene_or_Protein
lutein	LUT1	Gene_or_Protein
lutein	LUT5	Gene_or_Protein
lycopene	lycopene	Gene_or_Protein
lycopene b-cyclase	LYC-b	Gene_or_Protein
lycopene b-cyclase	Lycb-1	Gene_or_Protein
lycopene b-cyclase	lycopene beta-cyclase	Gene_or_Protein
lycopene b-cyclase	lycopene -cyclase	Gene_or_Protein
lycopene e-cyclase	lycopene epsilon-cyclase	Gene_or_Protein
lycopene b-cyclase	lycopene β-cyclases	Gene_or_Protein
lycopene b-cyclase	lyopene b-cyclase	Gene_or_Protein
lycopene cyclase	lycopene cyclase	Gene_or_Protein
lycopene e-cyclase	lycopene e-cyclase	Gene_or_Protein
lycopene e-cyclase	lycopene epsilon cyclase	Gene_or_Protein
lysine-rich	lysine-rich	Gene_or_Protein
MaAmyA	MaAmyA	Gene_or_Protein
MAPK	MAPK	Gene_or_Protein
MDHAR	MDHAR	Gene_or_Protein
MdoMYB121	MdoMYB121	Gene_or_Protein
MDR-1	MDR-1	Gene_or_Protein
MdVHP1	MdVHP1	Gene_or_Protein
Meloidogyne	Meloidogyne	Gene_or_Protein
methionine synthase	methionine synthase	Gene_or_Protein
MhGLB1	MhGLB1	Gene_or_Protein
MhSnRK1	MhSnRK1	Gene_or_Protein
MICRO.127.C1	MICRO.127.C1	Gene_or_Protein
MICRO.127.C2	MICRO.127.C2	Gene_or_Protein
MICRO.127.C3	MICRO.127.C3	Gene_or_Protein
MICRO.127.C4	MICRO.127.C4	Gene_or_Protein
micro.17361.c1	micro.17361.c1	Gene_or_Protein
micro.187.c2	micro.187.c2	Gene_or_Protein
MICRO.4497.C3	MICRO.4497.C3	Gene_or_Protein
miR165/166	miR165/166	Gene_or_Protein
miraculin	miraculin	Gene_or_Protein
monodehydroascorbate reductase	monodehydroascorbate reductase	Gene_or_Protein
monooxygenase	monooxygenase	Gene_or_Protein
MS1	StMS1	Gene_or_Protein
Mtf1	StMtf1	Gene_or_Protein
MYB	MYB	Gene_or_Protein
MYB	MYB10	Gene_or_Protein
MYB	MYB73	Gene_or_Protein
MYB	MYB-related	Gene_or_Protein
MYB113	StMYB113	Gene_or_Protein
MYB113	StMYB113-3	Gene_or_Protein
MYBA1	StMYBA1	Gene_or_Protein
myo-inositol monophosphatase	myo-inositol monophosphatase	Gene_or_Protein
NAC-like	NAC-like	Gene_or_Protein
NB-LRR resistance	NB-LRR resistance	Gene_or_Protein
neoxanthin epoxidase	neoxanthin epoxidase	Gene_or_Protein
neoxanthin synthase	neoxanthin synthase	Gene_or_Protein
neryneryl diphosphate synthase	neryneryl diphosphate synthase	Gene_or_Protein
Nt-ABS	Nt-ABS	Gene_or_Protein
Nt-CPS2	Nt-CPS2	Gene_or_Protein
NtER1	NtER1	Gene_or_Protein
NXD1	NXD1	Gene_or_Protein
NXS	NXS	Gene_or_Protein
ODC	ODC	Gene_or_Protein
Or	Or	Gene_or_Protein
orCCD8	orCCD8	Gene_or_Protein
ornithine decarboxylase	ornithine decarboxylase	Gene_or_Protein
oxygenase	oxygenase	Gene_or_Protein
oxygenase activase	oxygenase activase	Gene_or_Protein
P	P	Gene_or_Protein
p19	p19	Gene_or_Protein
PAD4	StPAD4	Gene_or_Protein
PAL	PAL	Gene_or_Protein
Pat2	Pat2	Gene_or_Protein
pat3-k1	pat3-k1	Gene_or_Protein
patatin	patatin	Gene_or_Protein
PbSUT2	PbSUT2	Gene_or_Protein
PDH	PDH	Gene_or_Protein
PDS	PDS	Gene_or_Protein
pectin methyl esterase	pectin methyl esterase	Gene_or_Protein
PepTLP	PepTLP	Gene_or_Protein
PEROXIDASE2	PEROXIDASE2	Gene_or_Protein
Pf	Pf	Gene_or_Protein
PGA	PGA1	Gene_or_Protein
PGA	PGA2	Gene_or_Protein
phenyl ammonium lyase	phenyl ammonium lyase	Gene_or_Protein
phenylalanine ammonia lyase	phenylalanine ammonia lyase	Gene_or_Protein
phenylalanine ammonia lyase	phenylalanine ammonia-lyase	Gene_or_Protein
pho1	pho1	Gene_or_Protein
pho1	Pho1a	Gene_or_Protein
PHT	PHT	Gene_or_Protein
phyB1	phyB1	Gene_or_Protein
phytochelatin synthase	phytochelatin synthase	Gene_or_Protein
phytoene desaturase	phytoene desaturase	Gene_or_Protein
phytoene desaturase	phy-toene desaturase	Gene_or_Protein
